reserve_name,map_label,designation,creation_or_status_year,year_basis,alternative_years,colonial_period,ordinance_or_legal_authority_mapped,legal_pathway_category,legal_mapping_confidence,area_km2_reported,area_km2_alternative,modern_region_or_sublocation,source_type,source_title,source_url,source_note,verification_status,r_join_key
Tano Suraw Extension Forest Reserve,Tano Suraw Extension,Forest Reserve extension,1934,Ghana Forest and Wildlife Handbook snippet,,Forests Ordinance era,"Forests Ordinance, 1927; extension likely created by amending order or Gazette notice",forests_ordinance_1927_order_or_extension,Medium,,,Tano forest zone,Ghana Forest and Wildlife Handbook snippet,Ghana Forest and Wildlife Handbook / protected-area list snippet,,Snippet reports Tano Suraw Extension with year 1934; original handbook table needed for area and instrument details.,verified_year_from_snippet; needs_original_table_check,tano_suraw_extension
Tano Nimri Forest Reserve,Tano Nimri,Forest Reserve,1935,UN/WDPA Ghana list snippet,Tano Nimiri spelling variant,Forests Ordinance era,"Forests Ordinance, 1927, likely by order or traditional authority by-law",forests_ordinance_1927_or_native_authority_bylaw,High,206.00,,Western/Tano forest zone,UN List/WDPA,United Nations List of Protected Areas of Ghana,https://documents.protectedplanet.net/GHA.html,UN/WDPA list reports Designated 1935 and area 206.00 km2.,verified_year_open_source; individual_gazette_not_found,tano_nimri
Bia Tano Forest Reserve,Bia Tano,Forest Reserve,1937,UN/WDPA Ghana list and independent reserve description,,Forests Ordinance era,"Forests Ordinance, 1927, likely by Gazette order",forests_ordinance_1927_order,High,194.25,181.97 in a reserve-specific description,Western North / Bia-Tano area,UN List/WDPA; reserve-specific secondary description,United Nations List of Protected Areas of Ghana; Bia Tano reserve description,https://documents.protectedplanet.net/GHA.html,UN list reports 1937 and 194.25 km2; a reserve-specific source reports gazetted in 1937 with reference 7N002W37 and area 181.97 km2.,verified_year_open_source; area_discrepancy_noted,bia_tano
Mpameso Forest Reserve,Mpameso,Forest Reserve,1937,UN/WDPA Ghana list snippet,,Forests Ordinance era,"Forests Ordinance, 1927, likely by Gazette order or traditional authority by-law",forests_ordinance_1927_or_native_authority_bylaw,High,322.46,,Bono / Brong-Ahafo forest zone,UN List/WDPA,United Nations List of Protected Areas of Ghana,https://documents.protectedplanet.net/GHA.html,UN/WDPA list reports Designated 1937 and area 322.46 km2.,verified_year_open_source; individual_gazette_not_found,mpameso
Pra Birim Forest Reserve,Pra Birim,Forest Reserve,1937,UN/WDPA Ghana list and Ghana Forest and Wildlife Handbook snippet,,Forests Ordinance era,"Forests Ordinance, 1927, likely by Gazette order or traditional authority by-law",forests_ordinance_1927_or_native_authority_bylaw,High,23.57,,Akim Oda / Eastern forest zone,UN List/WDPA; Ghana Forest and Wildlife Handbook snippet,United Nations List of Protected Areas of Ghana / Ghana Forest and Wildlife Handbook snippet,https://documents.protectedplanet.net/GHA.html,UN/WDPA list reports Designated 1937 and area 23.57 km2.,verified_year_open_source; individual_gazette_not_found,pra_birim
Nsuensa Forest Reserve,Nsuensa,Forest Reserve,1938,Protected Planet status year; project source notes Nsuensa Forest Reserve Byelaws in 1929,1929 by-law date in project source,Forests Ordinance era with Native Authority by-law history,"Nsuensa Forest Reserve Byelaws, 1929, followed or recognized within Forests Ordinance, 1927 reserve administration",bylaw_then_forests_ordinance_regularisation,Medium,62.99,,Akyem Kotoku / Eastern forest zone,Protected Planet; project source on colonial botany and forestry,Protected Planet profile for Nsuensa; Botany and Colonial Authority in the Gold Coast project PDF,https://www.protectedplanet.net/40807,"Protected Planet reports status year 1938; project source documents Nsuensa Forest Reserve Byelaws, 1929, so both dates are preserved.",verified_status_year; earlier_bylaw_date_needs_gazette_check,nsuensa
Bobiri Forest Reserve,Bobiri,Forest Reserve / later butterfly sanctuary,1939,CSIR-FORIG and reserve-specific sources report gazetting in 1939,11 November 1939 reported in some reserve descriptions,Forests Ordinance era,"Forests Ordinance, 1927, likely by Gazette order",forests_ordinance_1927_order,High,54.65,,Kubease / Ashanti Region,CSIR-FORIG; reserve-specific descriptions,CSIR-FORIG Bobiri Forest Facts and reserve-specific descriptions,https://csir-forig.org.gh/ecotourism/bobiri-forest-facts/,Multiple open sources report Bobiri as gazetted/established in 1939; exact Gazette instrument still to verify.,verified_year_open_source; individual_gazette_not_found,bobiri
Oda River Forest Reserve,Oda River,Forest Reserve,1939,UN/WDPA Ghana list snippet,,Forests Ordinance era,"Forests Ordinance, 1927, likely by Gazette order or traditional authority by-law",forests_ordinance_1927_or_native_authority_bylaw,High,164.20,,Ashanti forest zone,UN List/WDPA,United Nations List of Protected Areas of Ghana,https://documents.protectedplanet.net/GHA.html,UN/WDPA list reports Designated 1939 and area 164.20 km2.,verified_year_open_source; individual_gazette_not_found,oda_river
Bia Shelterbelt Forest Reserve,Bia Shelterbelt,Forest Reserve / shelterbelt,1940,Protected Planet status year and UN/WDPA Ghana list,,Forests Ordinance era,"Forests Ordinance, 1927, likely by Gazette order",forests_ordinance_1927_order,High,29.53,30.98,Western North / Bia area,Protected Planet; UN List/WDPA,Protected Planet profile for Bia Shelterbelt; United Nations List of Protected Areas of Ghana,https://www.protectedplanet.net/40751,Status year 1940. UN/WDPA and Protected Planet report slightly different areas.,verified_year_open_source; area_discrepancy_noted,bia_shelterbelt
Afao Hills Forest Reserve,Afao Hills,Forest Reserve,1945,UN/WDPA Ghana list snippet,,Forests Ordinance era,"Forests Ordinance, 1927, likely by Gazette order or traditional authority by-law",forests_ordinance_1927_or_native_authority_bylaw,Medium,73.74,,Western / forest zone,UN List/WDPA,United Nations List of Protected Areas of Ghana,https://documents.protectedplanet.net/GHA.html,Open-source list reports Designated 1945 and area 73.74 km2.,verified_year_open_source; individual_gazette_not_found,afao_hills
Subri River Forest Reserve,Subri River,Forest Reserve,1949,Protected Planet status year,1950 reported in some reserve descriptions,Forests Ordinance era,"Forests Ordinance, 1927, likely by Gazette order",forests_ordinance_1927_order,Medium,591.55,587.93 in some reserve descriptions,Western Region / Subri area,Protected Planet; reserve-specific descriptions,Protected Planet profile for Subri River; reserve description reporting 1950 gazetting,https://www.protectedplanet.net/303961,"Protected Planet reports status year 1949; another reserve description reports gazetted in 1950, so the date is flagged.",verified_status_year_open_source; conflicting_secondary_date,subri_river
Asufu Shelterbelt East Forest Reserve,Asufu Shelterbelt East,Forest Reserve / shelterbelt,1950,Protected Planet status year,,Forests Ordinance era,"Forests Ordinance, 1927, likely by Gazette order",forests_ordinance_1927_order,High,10.40,,Asufu / forest-zone shelterbelt,Protected Planet,Protected Planet profile for Asufu Shelterbelt East,https://www.protectedplanet.net/40771,Protected Planet reports status year 1950 and area 10.4 km2.,verified_year_open_source; individual_gazette_not_found,asufu_shelterbelt_east
